part,scenario,algo,warmstart,mean_profit,ci95,n_rep,delta_rule,delta_best,horizon,note
A,none,"fixed_0_(s,S)",,2579266.8249999997,1629.05400000073,2,-54.64999999990687,-54.64999999990687,30+365,no disruption
A,none,best_fixed_1,,2579321.4749999996,1668.1560000006386,2,0.0,0.0,30+365,no disruption
A,none,rule_based,,2579321.4749999996,1668.1560000006386,2,0.0,0.0,30+365,no disruption
A,none,dqn,N,2565478.1124999984,2684.1954999996346,2,-13843.36250000121,-13843.36250000121,30+365,no disruption
